,id,submitter,authors,title,comments,journal-ref,doi,report-no,categories,license,abstract,versions,update_date,authors_parsed
330000,1203.4641,Sivaguru Ravisankar,Sivaguru Ravisankar,Transversally Lipschitz Harmonic Functions are Lipschitz,,"Complex Var. Elliptic Equ. 58 (2013), no. 12, 1685-1700",10.1080/17476933.2012.709850,,math.AP math.CA,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Let \Omega\subset\mathbb{R}^n be a bounded domain with C^\infty boundary. We
show that a harmonic function in \Omega that is Lipschitz along a family of
curves transversal to b\Omega is Lipschitz in \Omega. The space of Lipschitz
functions we consider is defined using the notion of a majorant which is a
certain generalization of the power functions t^\alpha, 0<\alpha<1.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 02:48:28 GMT'}]",2015-04-14,"[['Ravisankar', 'Sivaguru', '']]"
330001,1203.4642,Soumya Sen,"Felix Ming Fai Wong, Soumya Sen, Mung Chiang",Why Watching Movie Tweets Won't Tell the Whole Story?,"6 pages, 4 figures",,,,cs.SI physics.soc-ph,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Data from Online Social Networks (OSNs) are providing analysts with an
unprecedented access to public opinion on elections, news, movies etc. However,
caution must be taken to determine whether and how much of the opinion
extracted from OSN user data is indeed reflective of the opinion of the larger
online population. In this work we study this issue in the context of movie
reviews on Twitter and compare the opinion of Twitter users with that of the
online population of IMDb and Rotten Tomatoes. We introduce new metrics to show
that the Twitter users can be characteristically different from general users,
both in their rating and their relative preference for Oscar-nominated and
non-nominated movies. Additionally, we investigate whether such data can truly
predict a movie's box-office success.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 02:50:30 GMT'}]",2015-03-20,"[['Wong', 'Felix Ming Fai', ''], ['Sen', 'Soumya', ''], ['Chiang', 'Mung', '']]"
330002,1203.4643,Chanseok Park,Chanseok Park,"Determination of the Joint Confidence Region of Optimal Operating
  Conditions in Robust Design by Bootstrap Technique","Two tables, Three figures",Int.J.of.Production.Research 51 (2013) 4695-4703,10.1080/00207543.2013.792963,,stat.ME,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Robust design has been widely recognized as a leading method in reducing
variability and improving quality. Most of the engineering statistics
literature mainly focuses on finding ""point estimates"" of the optimum operating
conditions for robust design. Various procedures for calculating point
estimates of the optimum operating conditions are considered. Although this
point estimation procedure is important for continuous quality improvement, the
immediate question is ""how accurate are these optimum operating conditions?""
The answer for this is to consider interval estimation for a single variable or
joint confidence regions for multiple variables.
  In this paper, with the help of the bootstrap technique, we develop
procedures for obtaining joint ""confidence regions"" for the optimum operating
conditions. Two different procedures using Bonferroni and multivariate normal
approximation are introduced. The proposed methods are illustrated and
substantiated using a numerical example.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 02:58:52 GMT'}]",2013-08-14,"[['Park', 'Chanseok', '']]"
330003,1203.4644,Myron Salamon,"Ali E. Aliev and Ka Xiong, Kyeongjae Cho, and M. B. Salamon",Reversible Superconductivity in Electrochromic Indium-Tin Oxide Films,,"Appl. Phys. Lett. 101, 252603 (2012);",10.1063/1.4772536,,cond-mat.supr-con,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Transparent conductive indium tin oxide (ITO) thin films, electrochemically
intercalated with sodium or other cations, show tunable superconducting
transitions with a maximum $T_c$ at 5 K. The transition temperature and the
density of states, $D(E_F)$ (extracted from the measured Pauli susceptibility
$\chi_p$ exhibit the same dome shaped behavior as a function of electron
density. Optimally intercalated samples have an upper critical field $\approx
4$ T and $\Delta/{k_BT_c} \approx 2.0$. Accompanying the development of
superconductivity, the films show a reversible electrochromic change from
transparent to colored and are partially transparent (orange) at the peak of
the superconducting dome. This reversible intercalation of alkali and alkali
earth ions into thin ITO films opens diverse opportunities for tunable,
optically transparent superconductors.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 03:06:21 GMT'}, {'version': 'v2', 'created': 'Tue, 9 Oct 2012 17:11:43 GMT'}]",2013-02-07,"[['Aliev', 'Ali E.', ''], ['Xiong', 'Ka', ''], ['Cho', 'Kyeongjae', ''], ['Salamon', 'M. B.', '']]"
330004,1203.4645,Volkan Yildiz,Volkan Yildiz,"Counting false entries in truth tables of bracketed formulae connected
  by m-implication",arXiv admin note: text overlap with arXiv:1106.4443,,,,math.CO math.LO math.NT,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  In this paper we count the number of rows yn with the value ""false"" in the
truth tables of all bracketed formulae with n distinct variables connected by
the binary connective of 2modified-implication"". We find a recurrence and an
asymptotic formulae for yn. We also determine the parity of yn.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 03:32:24 GMT'}]",2016-10-05,"[['Yildiz', 'Volkan', '']]"
330005,1203.4646,Juergen Berges,"J. Berges, S. Schlichting, D. Sexty",Over-populated gauge fields on the lattice,"15 pages, 4 figures",,10.1103/PhysRevD.86.074006,,hep-ph hep-lat nucl-th,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We study nonequilibrium dynamics of SU(2) pure gauge theory starting from
initial over-population, where intense classical gauge fields are characterized
by a single momentum scale Q_s. Classical-statistical lattice simulations
indicate a quick evolution towards an approximate scaling behavior with
exponent 3/2 at intermediate times. Remarkably, the value for the scaling
exponent may be understood as arising from the leading O(g^2) contribution in
the presence of a time-dependent background field. The phenomenon is associated
to weak wave turbulence describing an energy cascade towards higher momenta.
This particular aspect is very similar to what is observed for scalar theories,
where an effective cubic interaction arises because of the presence of a
time-dependent Bose condensate.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 03:48:41 GMT'}]",2013-05-30,"[['Berges', 'J.', ''], ['Schlichting', 'S.', ''], ['Sexty', 'D.', '']]"
330006,1203.4647,Michael Rubinstein,"Ian P. Goulden, Duc Khiem Huynh, Rishikesh, Michael O. Rubinstein","Lower order terms for the moments of symplectic and orthogonal families
  of $L$-functions","34 pages, 4 tables",,,,math.NT math.CO,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We derive formulas for the terms in the conjectured asymptotic expansions of
the moments, at the central point, of quadratic Dirichlet $L$-functions,
$L(1/2,\chi_d)$, and also of the $L$-functions associated to quadratic twists
of an elliptic curve over $\Q$. In so doing, we are led to study determinants
of binomial coefficients of the form $\det
(\binom{2k-i-\lambda_{k-i+1}}{2k-2j})$.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 03:55:52 GMT'}, {'version': 'v2', 'created': 'Mon, 26 Mar 2012 01:01:20 GMT'}, {'version': 'v3', 'created': 'Fri, 15 Jun 2012 02:46:59 GMT'}]",2012-06-18,"[['Goulden', 'Ian P.', ''], ['Huynh', 'Duc Khiem', ''], ['Rishikesh', '', ''], ['Rubinstein', 'Michael O.', '']]"
330007,1203.4648,Zohar Nussinov,Zohar Nussinov,"Viewpoint on the ""Theory of the superglass phase"" and a proof of
  principle of quantum critical jamming and related phases","3 pages sans figures and minor alterations of the published version;
  Physics 1, 40 (2008)",,,,cond-mat.stat-mech cond-mat.dis-nn,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  A viewpoint article on the very interesting work of Biroli, Chamon, and
Zamponi on superglasses. I further suggest how additional new superglass and
""spin-superglass"" phases of matter (the latter phases contain quenched
disorder) and general characteristics may be proven as a theoretical proof of
concept in various electronic systems. The new phases include: (1) superglasses
of Cooper pairs, i.e., glassy superconductors, (2) superglass phases of quantum
spins, and (3) superglasses of the electronic orbitals. New general features
which may be derived by the same construct include (a) quantum dynamical
heterogeneities- a low temperature quantum analogue of dynamical
heterogeneities known to exist in classical glasses and spin-glasses wherein
the local dynamics and temporal correlations are spatially non-uniform. I also
discuss on a new class of quantum critical systems. In particular, I outline
(b) the derivation of the quantum analogue of the zero temperature jamming
transition that has a non-trivial dynamical exponent. We very briefly comment
on (c) quantum liquid crystals.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 04:07:55 GMT'}]",2012-03-22,"[['Nussinov', 'Zohar', '']]"
330008,1203.4649,Saravanan Kumarasamy,"K. Saravanan, L. Vijayanand and R. K. Negesh","A Novel Bluetooth Man-In-The-Middle Attack Based On SSP using OOB
  Association model",,,,EMICS12,cs.CR,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  As an interconnection technology, Bluetooth has to address all traditional
security problems, well known from the distributed networks. Moreover, as
Bluetooth networks are formed by the radio links, there are also additional
security aspects whose impact is yet not well understood. In this paper, we
propose a novel Man-In-The-Middle (MITM) attack against Bluetooth enabled
mobile phone that support Simple Secure Pairing(SSP). From the literature it
was proved that the SSP association models such as Numeric comparison, Just
works and passkey Entry are not more secure. Here we propose the Out Of Band
(OOB) channeling with enhanced security than the previous methods.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 04:20:00 GMT'}]",2012-03-22,"[['Saravanan', 'K.', ''], ['Vijayanand', 'L.', ''], ['Negesh', 'R. K.', '']]"
330009,1203.465,Qayum Khan,Qayum Khan,Rigidity of pseudo-free group actions on contractible manifolds,6 pages,"RIMS Kokyuroku Bessatsu, Volume B39 (2013), 45--50",,,math.GT math.AT,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  This article announces joint work with Frank Connolly and Jim Davis. We
generalize our classification of pseudo-free involutions on the n-torus, by
studying the action of the associated infinite group with torsion in the
universal cover. Included is a non-Riemannian example obtained from the
restriction of the action of a Coxeter group on a CAT(0) manifold.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 04:23:59 GMT'}, {'version': 'v2', 'created': 'Tue, 31 Jul 2012 03:36:04 GMT'}]",2013-04-02,"[['Khan', 'Qayum', '']]"
