,id,submitter,authors,title,comments,journal-ref,doi,report-no,categories,license,abstract,versions,update_date,authors_parsed
330001,1203.4642,Soumya Sen,"Felix Ming Fai Wong, Soumya Sen, Mung Chiang",Why Watching Movie Tweets Won't Tell the Whole Story?,"6 pages, 4 figures",,,,cs.SI physics.soc-ph,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Data from Online Social Networks (OSNs) are providing analysts with an
unprecedented access to public opinion on elections, news, movies etc. However,
caution must be taken to determine whether and how much of the opinion
extracted from OSN user data is indeed reflective of the opinion of the larger
online population. In this work we study this issue in the context of movie
reviews on Twitter and compare the opinion of Twitter users with that of the
online population of IMDb and Rotten Tomatoes. We introduce new metrics to show
that the Twitter users can be characteristically different from general users,
both in their rating and their relative preference for Oscar-nominated and
non-nominated movies. Additionally, we investigate whether such data can truly
predict a movie's box-office success.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 02:50:30 GMT'}]",2015-03-20,"[['Wong', 'Felix Ming Fai', ''], ['Sen', 'Soumya', ''], ['Chiang', 'Mung', '']]"
330008,1203.4649,Saravanan Kumarasamy,"K. Saravanan, L. Vijayanand and R. K. Negesh","A Novel Bluetooth Man-In-The-Middle Attack Based On SSP using OOB
  Association model",,,,EMICS12,cs.CR,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  As an interconnection technology, Bluetooth has to address all traditional
security problems, well known from the distributed networks. Moreover, as
Bluetooth networks are formed by the radio links, there are also additional
security aspects whose impact is yet not well understood. In this paper, we
propose a novel Man-In-The-Middle (MITM) attack against Bluetooth enabled
mobile phone that support Simple Secure Pairing(SSP). From the literature it
was proved that the SSP association models such as Numeric comparison, Just
works and passkey Entry are not more secure. Here we propose the Out Of Band
(OOB) channeling with enhanced security than the previous methods.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 04:20:00 GMT'}]",2012-03-22,"[['Saravanan', 'K.', ''], ['Vijayanand', 'L.', ''], ['Negesh', 'R. K.', '']]"
330026,1203.4667,Amaury Pouly,"Amaury Pouly, Olivier Bournez, Daniel S. Gra\c{c}a","Turing machines can be efficiently simulated by the General Purpose
  Analog Computer",,,10.1007/978-3-642-38236-9_16,,cs.CC,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  The Church-Turing thesis states that any sufficiently powerful computational
model which captures the notion of algorithm is computationally equivalent to
the Turing machine. This equivalence usually holds both at a computability
level and at a computational complexity level modulo polynomial reductions.
However, the situation is less clear in what concerns models of computation
using real numbers, and no analog of the Church-Turing thesis exists for this
case. Recently it was shown that some models of computation with real numbers
were equivalent from a computability perspective. In particular it was shown
that Shannon's General Purpose Analog Computer (GPAC) is equivalent to
Computable Analysis. However, little is known about what happens at a
computational complexity level. In this paper we shed some light on the
connections between this two models, from a computational complexity level, by
showing that, modulo polynomial reductions, computations of Turing machines can
be simulated by GPACs, without the need of using more (space) resources than
those used in the original Turing computation, as long as we are talking about
bounded computations. In other words, computations done by the GPAC are as
space-efficient as computations done in the context of Computable Analysis.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 07:48:23 GMT'}, {'version': 'v2', 'created': 'Wed, 20 Jan 2016 17:49:53 GMT'}]",2017-01-18,"[['Pouly', 'Amaury', ''], ['Bournez', 'Olivier', ''], ['Graça', 'Daniel S.', '']]"
330044,1203.4685,Sumit Singh,Sumit Singh,A Local Approach for Identifying Clusters in Networks,,,,,cs.SI physics.soc-ph,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Graph clustering is a fundamental problem that has been extensively studied
both in theory and practice. The problem has been defined in several ways in
literature and most of them have been proven to be NP-Hard. Due to their high
practical relevancy, several heuristics for graph clustering have been
introduced which constitute a central tool for coping with NP-completeness, and
are used in applications of clustering ranging from computer vision, to data
analysis, to learning. There exist many methodologies for this problem, however
most of them are global in nature and are unlikely to scale well for very large
networks. In this paper, we propose two scalable local approaches for
identifying the clusters in any network. We further extend one of these
approaches for discovering the overlapping clusters in these networks. Some
experimentation results obtained for the proposed approaches are also
presented.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 09:27:24 GMT'}, {'version': 'v2', 'created': 'Fri, 23 Mar 2012 21:33:44 GMT'}]",2012-03-27,"[['Singh', 'Sumit', '']]"
330052,1203.4693,Christian Kissling,Christian Kissling,On the Stability of Contention Resolution Diversity Slotted ALOHA,"10 pages, 12 figures This paper is submitted to the IEEE Transactions
  on Communications for possible publication. The IEEE copyright notice applies",,10.1109/GLOCOM.2011.6134329,,cs.IT math.IT,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  In this paper a Time Division Multiple Access (TDMA) based Random Access (RA)
channel with Successive Interference Cancellation (SIC) is considered for a
finite user population and reliable retransmission mechanism on the basis of
Contention Resolution Diversity Slotted ALOHA (CRDSA). A general mathematical
model based on Markov Chains is derived which makes it possible to predict the
stability regions of SIC-RA channels, the expected delays in equilibrium and
the selection of parameters for a stable channel configuration. Furthermore the
model enables the estimation of the average time before reaching instability.
The presented model is verified against simulations and numerical results are
provided for comparison of the stability of CRDSA versus the stability of
traditional Slotted ALOHA (SA). The presented results show that CRDSA has not
only a high gain over SA in terms of throughput but also in its stability.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 09:49:40 GMT'}]",2016-11-18,"[['Kissling', 'Christian', '']]"
330053,1203.4694,Devesh Jinwala PhD,"Devesh C. Jinwala, Dhiren R. Patel, Sankita Patel, Kankar S. Dasgupta","Optimizing the Replay Protection at the Link Layer Security Framework in
  Wireless Sensor Networks","12 pages, Accepted for publication in International Journal of
  Computer Science, IAENG Publication - BUT NOT PUBLISHED",,,,cs.CR,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Ensuring communications security in Wireless Sensor Networks (WSNs) is very
vital because the security protocols therein, should be devised to work at the
link layer. Theoretically, any link layer security protocol must support three
vital security attributes viz. Confidentiality, Message Integrity and Replay
protection. However, in order to ensure lesser overhead, replay protection is
often not incorporated as part of the link layer security framework. We argue
here, that it is essential to implement replay protection at the link layer
only and devise a simple scheme to do so. We first survey the common approaches
to ensuring replay protection in conventional networks. We also implement the
conventional algorithms for replay protection using the link layer framework
for WSNs viz. TinySec as the underlying platform. Subsequently analyzing their
limitations, we propose a novel Bloom-filter based replay protection algorithm
for unicast communications. We show that our algorithm is better than the other
contemporary approaches for ensuring replay protection in unicast
communications in the WSNs.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 09:56:12 GMT'}]",2012-03-22,"[['Jinwala', 'Devesh C.', ''], ['Patel', 'Dhiren R.', ''], ['Patel', 'Sankita', ''], ['Dasgupta', 'Kankar S.', '']]"
330056,1203.4697,Devesh Jinwala PhD,"Devesh Jinwala, Dhiren Patel, Kankar Dasgupta","FlexiSec: A Configurable Link Layer Security Architecture for Wireless
  Sensor Networks",22 pages,Journal of Information Assurance and Security 4 (2009) pp. 582-603,,,cs.CR,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Ensuring communications security in Wireless Sensor Networks (WSNs) indeed is
critical; due to the criticality of the resources in the sensor nodes as well
as due to their ubiquitous and pervasive deployment, with varying attributes
and degrees of security required. The proliferation of the next generation
sensor nodes, has not solved this problem, because of the greater emphasis on
low-cost deployment. In addition, the WSNs use data-centric multi-hop
communication that in turn, necessitates the security support to be devised at
the link layer (increasing the cost of security related operations), instead of
being at the application layer, as in general networks. Therefore, an
energy-efficient link layer security framework is necessitated. There do exists
a number of link layer security architectures that offer some combinations of
the security attributes desired by different WSN applications. However, as we
show in this paper, none of them is responsive to the actual security demands
of the applications. Therefore, we believe that there is a need for
investigating the feasibility of a configurable software-based link layer
security architecture wherein an application can be compiled flexibly, with
respect to its actual security demands. In this paper, we analyze, propose and
experiment with the basic design of such configurable link layer security
architecture for WSNs. We also experimentally evaluate various aspects related
to our scheme viz. configurable block ciphers, configurable block cipher modes
of operations, configurable MAC sizes and configurable replay protection. The
architecture proposed is aimed to offer the optimal level of security at the
minimal overhead, thus saving the precious resources in the WSNs.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 10:06:00 GMT'}]",2012-03-22,"[['Jinwala', 'Devesh', ''], ['Patel', 'Dhiren', ''], ['Dasgupta', 'Kankar', '']]"
330057,1203.4698,Devesh Jinwala PhD,"Vivaksha Jariwala, Devesh Jinwala",A Novel Approach for Secure Data Aggregation in Wireless Sensor Networks,"12 pages, Proceedings of the 10th National Workshop on Cryptology,
  PSG Institute, coimbatore, Indian, Sep 2-4, 2010",,,,cs.CR,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  The Wireless Sensor Networks (WSNs) are composed of resource starved sensor
nodes that are deployed to sense, process and communicate vital information to
the base station. Due to the stringent constraints on the resources in the
sensor nodes on one hand and due to the communications costs being always
significantly higher than the data processing costs, the WSNs typically, employ
in-network processing, which aims at reducing effectively, the total number of
packets eventually transmitted to the base station. Such innetwork processing
largely employs data aggregation operations that aggregate the data into a
compact representation for further transmission. However, due to the ubiquitous
& pervasive deployment, heavier resource demands of the security protocols and
due to the stringent resource constraints in WSN nodes, the security concerns
in WSNs are even otherwise critical. These concerns assume alarming proportions
when using data aggregation in which the output of the data aggregator nodes
depends on that of various other nodes. Hence, the protocols for data
aggregation have to carefully devised with a constant vigil on ensuring
security of the data. In this paper, based on our survey of the existing
research efforts for ensuring secure data aggregation, we propose a novel
approach using homomorphic encryption and additive digital signatures to
achieve confidentiality, integrity and availability for secure data aggregation
in wireless sensor networks.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 10:09:55 GMT'}]",2012-03-22,"[['Jariwala', 'Vivaksha', ''], ['Jinwala', 'Devesh', '']]"
330064,1203.4705,Sven Simonsen,J{\o}rgen Bang-Jensen and Sven Simonsen,Arc-Disjoint Paths and Trees in 2-Regular Digraphs,"9 pages, 7 figures",,,,math.CO cs.DM,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  An out-(in-)branching B_s^+ (B_s^-) rooted at s in a digraph D is a connected
spanning subdigraph of D in which every vertex x != s has precisely one arc
entering (leaving) it and s has no arcs entering (leaving) it. We settle the
complexity of the following two problems:
  1) Given a 2-regular digraph $D$, decide if it contains two arc-disjoint
branchings B^+_u, B^-_v.
  2) Given a 2-regular digraph D, decide if it contains an out-branching B^+_u
such that D remains connected after removing the arcs of B^+_u.
  Both problems are NP-complete for general digraphs. We prove that the first
problem remains NP-complete for 2-regular digraphs, whereas the second problem
turns out to be polynomial when we do not prescribe the root in advance. We
also prove that, for 2-regular digraphs, the latter problem is in fact
equivalent to deciding if $D$ contains two arc-disjoint out-branchings. We
generalize this result to k-regular digraphs where we want to find a number of
pairwise arc-disjoint spanning trees and out-branchings such that there are k
in total, again without prescribing any roots.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 11:15:51 GMT'}]",2012-03-22,"[['Bang-Jensen', 'Jørgen', ''], ['Simonsen', 'Sven', '']]"
330075,1203.4716,Andreas Abel,"Andreas Abel (Department of Computer Science,
  Ludwig-Maximilians-University Munich), Gabriel Scherer (Department of
  Computer Science, Ludwig-Maximilians-University Munich)",On Irrelevance and Algorithmic Equality in Predicative Type Theory,"36 pages, superseds the FoSSaCS 2011 paper of the first author,
  titled ""Irrelevance in Type Theory with a Heterogeneous Equality Judgement""","Logical Methods in Computer Science, Volume 8, Issue 1 (March 27,
  2012) lmcs:1045",10.2168/LMCS-8(1:29)2012,,cs.LO cs.PL,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Dependently typed programs contain an excessive amount of static terms which
are necessary to please the type checker but irrelevant for computation. To
separate static and dynamic code, several static analyses and type systems have
been put forward. We consider Pfenning's type theory with irrelevant
quantification which is compatible with a type-based notion of equality that
respects eta-laws. We extend Pfenning's theory to universes and large
eliminations and develop its meta-theory. Subject reduction, normalization and
consistency are obtained by a Kripke model over the typed equality judgement.
Finally, a type-directed equality algorithm is described whose completeness is
proven by a second Kripke model.
","[{'version': 'v1', 'created': 'Wed, 21 Mar 2012 11:53:19 GMT'}, {'version': 'v2', 'created': 'Fri, 23 Mar 2012 20:51:52 GMT'}]",2015-07-01,"[['Abel', 'Andreas', '', 'Department of Computer Science,\n  Ludwig-Maximilians-University Munich'], ['Scherer', 'Gabriel', '', 'Department of\n  Computer Science, Ludwig-Maximilians-University Munich']]"
